ID,pit,TPS_order,body_morph_remove,side,length,length_cm,weight,rearing,rearing_side,K,pec_length,mouth_length
DSC_0727.JPG,624918,170,,left,71,7.1,3.6,semi-natural,semi-natural_left,1.272560552,1.390005742,0.1999946
DSC_0730.JPG,624836,171,,left,79,7.9,4.5,semi-natural,semi-natural_left,1.169624592,1.563600645,0.249111253
DSC_0738.JPG,624813,172,,left,76,7.6,4.2,enriched,enriched_left,1.220411088,1.493837845,0.230727028
DSC_0743.JPG,624815,173,,left,91,9.1,8.4,enriched,enriched_left,1.452914561,1.762875611,0.242092623
DSC_0746.JPG,624808,174,,left,95,9.5,9.5,enriched,enriched_left,1.451709176,1.724524891,0.281574913
DSC_0749.JPG,624849,175,,left,100,10,10.8,enriched,enriched_left,1.423717278,1.798260247,0.242337325
DSC_0752.JPG,624921,176,,left,96,9.6,9.3,enriched,enriched_left,1.378928658,1.822907486,0.230727028
DSC_0755.JPG,624782,177,,left,89,8.9,7.2,enriched,enriched_left,1.327667356,1.736714414,0.279727
DSC_0758.JPG,624827,178,,left,96,9.6,9.4,enriched,enriched_left,1.393755847,1.890197691,0.265206631
DSC_0761.JPG,624943,179,,left,87,8.7,7.1,enriched,enriched_left,1.397793129,1.625368651,0.278186573
DSC_0764.JPG,624825,180,,left,91,9.1,7.3,enriched,enriched_left,1.26265194,1.730160837,0.232029194
DSC_0767.JPG,624917,181,,left,93,9.3,9.1,enriched,enriched_left,1.478463137,1.869015017,0.304238504
DSC_0770.JPG,624982,182,,left,96,9.6,9.3,enriched,enriched_left,1.378928658,1.791556869,0.277600037
DSC_0773.JPG,624993,183,,left,91,9.1,7.4,enriched,enriched_left,1.279948542,1.792405807,0.220727231
DSC_0776.JPG,624818,184,,left,87,8.7,7.3,enriched,enriched_left,1.437167583,1.721804708,0.217934813
DSC_0779.JPG,624877,185,,left,85,8.5,6.3,enriched,enriched_left,1.326215329,1.642379154,0.209475704
DSC_0782.JPG,624805,186,,left,87,8.7,7.2,enriched,enriched_left,1.417480356,1.740438911,0.233535687
DSC_0785.JPG,624874,187,,left,92,9.2,8.5,enriched,enriched_left,1.424655906,1.874287672,0.2172311
DSC_0788.JPG,624857,188,,left,82,8.2,5,enriched,enriched_left,1.167309741,1.609722361,0.214024223
DSC_0791.JPG,624996,189,,left,83,8.3,6.4,enriched,enriched_left,1.442896128,1.643175911,0.225880918
DSC_0798.JPG,624904,191,,left,74,7.4,4,enriched,enriched_left,1.255083553,1.427700615,0.225333592
DSC_0802.JPG,624999,192,,left,82,8.2,6.1,enriched,enriched_left,1.424117883,1.614367309,0.235074549
DSC_0805.JPG,624969,193,,left,79,7.9,5.2,enriched,enriched_left,1.351566195,1.706649,0.214554358
DSC_0808.JPG,624992,194,,left,72,7.2,3.4,enriched,enriched_left,1.154413315,1.343841098,0.19120706
DSC_0811.JPG,624957,195,,left,79,7.9,6.2,enriched,enriched_left,1.611482771,1.581182044,0.225815309
DSC_0814.JPG,624986,196,,left,77,7.7,4,semi-natural,semi-natural_left,1.11935206,1.531686159,0.194053208
DSC_0817.JPG,624938,197,,left,74,7.4,3.7,enriched,enriched_left,1.160952287,1.579165937,0.176120214
DSC_0820.JPG,624987,198,,left,75,7.5,4.4,enriched,enriched_left,1.328239031,1.482116967,0.17746125
DSC_0823.JPG,624905,199,,left,73,7.3,4.2,enriched,enriched_left,1.370501304,1.537967887,0.194154993
DSC_0826.JPG,624769,200,,left,82,8.2,5.9,enriched,enriched_left,1.377425494,1.698953585,0.240598652
DSC_0830.JPG,624864,201,,left,77,7.7,5.3,enriched,enriched_left,1.483141479,1.524471643,0.203932024
DSC_0833.JPG,624887,202,,left,80,8,5.2,enriched,enriched_left,1.303479427,1.625152879,0.209357776
DSC_0836.JPG,624946,203,,left,76,7.6,4.4,enriched,enriched_left,1.278525901,1.484244937,0.198432602
DSC_0839.JPG,624812,204,,left,77,7.7,4.1,enriched,enriched_left,1.147335861,1.543673819,0.187133914
DSC_0842.JPG,624998,205,,left,72,7.2,3.7,enriched,enriched_left,1.256273314,1.442578795,0.209239781
DSC_0845.JPG,624779,206,,left,91,9.1,7.6,standard,standard_left,1.314541745,1.808429871,0.34966493
DSC_0848.JPG,624961,207,,left,94,9.4,8.1,standard,standard_left,1.276076763,1.892754161,0.289770282
DSC_0851.JPG,624826,208,,left,84,8.4,6.7,standard,standard_left,1.459319746,1.669359115,0.194586986
DSC_0854.JPG,624958,209,,left,87,8.7,8.9,standard,standard_left,1.752163217,1.835474327,0.209357776
DSC_0857.JPG,624997,210,,left,89,8.9,7.2,standard,standard_left,1.327667356,1.625125526,0.211306861
DSC_0860.JPG,624823,211,,left,85,8.5,6.4,standard,standard_left,1.347266366,1.761947971,0.267616807
DSC_0863.JPG,624941,212,,left,95,9.5,8.5,standard,standard_left,1.298897684,1.958129359,0.265690415
DSC_0866.JPG,624888,213,,left,97,9.7,9.6,standard,standard_left,1.381556461,1.842980268,0.238246863
DSC_0869.JPG,624797,214,,left,98,9.8,10.1,standard,standard_left,1.41120555,1.898811657,0.247400222
DSC_0872.JPG,624974,215,,left,85,8.5,6.2,standard,standard_left,1.305164292,1.626146406,0.209734912
DSC_0878.JPG,624852,217,,left,89,8.9,7.6,standard,standard_left,1.401426654,1.555813572,0.216753093
DSC_0881.JPG,624807,218,,left,94,9.4,8.8,standard,standard_left,1.386355002,1.793232308,0.275384918
DSC_0884.JPG,624833,219,,left,92,9.2,8.1,standard,standard_left,1.357613276,1.785235067,0.287854877
DSC_0887.JPG,624893,220,,left,90,9,7.3,standard,standard_left,1.303480183,1.712565874,0.226339649
DSC_0890.JPG,624811,221,,left,89,8.9,6.8,standard,standard_left,1.253908059,1.73528329,0.248932743
DSC_0893.JPG,624873,222,,left,74,7.4,3.7,standard,standard_left,1.160952287,1.322586948,0.1880029
DSC_0899.JPG,624942,223,,left,86,8.6,6.5,standard,standard_left,1.322993825,1.74214083,0.270170057
DSC_0902.JPG,624793,224,,left,79,7.9,4.9,standard,standard_left,1.273591222,1.642827189,0.217866811
DSC_0905.JPG,624924,225,,left,87,8.7,7,standard,standard_left,1.378105901,1.766544952,0.272880466
DSC_0908.JPG,624960,226,,left,80,8,5.6,standard,standard_left,1.403747075,1.599614095,0.180113371
DSC_0911.JPG,624936,227,,left,91,9.1,7.3,standard,standard_left,1.26265194,1.765263928,0.236290063
DSC_0914.JPG,624816,228,,left,83,8.3,5.9,standard,standard_left,1.330169868,1.712219746,0.24256142
DSC_0917.JPG,624780,229,,left,80,8,4.7,standard,standard_left,1.178144867,1.66579,0.212076822
DSC_0920.JPG,624890,230,,left,84,8.4,5.9,standard,standard_left,1.285072612,1.647465744,0.222288106
DSC_0923.JPG,624820,231,,left,85,8.5,6.4,standard,standard_left,1.347266366,1.697362593,0.189885067
DSC_0926.JPG,624995,232,,left,82,8.2,5.2,standard,standard_left,1.21400213,1.61747587,0.197909197
DSC_0929.JPG,624881,233,,left,88,8.8,6.4,standard,standard_left,1.219185751,1.606183709,0.227775359
DSC_0932.JPG,624819,234,,left,86,8.6,6.3,standard,standard_left,1.282286322,1.739215337,0.211890421
DSC_0936.JPG,624907,235,,left,77,7.7,4.9,standard,standard_left,1.371206273,1.603564637,0.19264821
DSC_0939.JPG,624791,236,,left,82,8.2,5.7,standard,standard_left,1.330733104,1.547074507,0.2470406
DSC_0942.JPG,624965,237,,left,76,7.6,4,standard,standard_left,1.162296274,1.540858755,0.198208455
DSC_0946.JPG,624800,238,,left,79,7.9,4.4,standard,standard_left,1.143632934,1.436354439,0.227558409
DSC_0949.JPG,624928,239,,left,83,8.3,5.7,standard,standard_left,1.285079364,1.712389934,0.18860619
DSC_0952.JPG,624976,240,,left,71,7.1,3.5,standard,standard_left,1.237211648,1.491107571,0.216228349
DSC_0956.JPG,624981,241,,left,77,7.7,4,standard,standard_left,1.11935206,1.580932124,0.218319757
DSC_0959.JPG,624970,242,,left,76,7.6,4.4,enriched,enriched_left,1.278525901,1.537248337,0.181125175
DSC_0962.JPG,624994,243,,left,78,7.8,4.9,standard,standard_left,1.321184969,1.598424865,0.203228431
DSC_0965.JPG,624902,244,,left,80,8,6,standard,standard_left,1.504014724,1.538776979,0.229632665
DSC_0968.JPG,624792,245,,left,72,7.2,4.2,standard,standard_left,1.426039978,1.512423226,0.181370436
DSC_0972.JPG,624944,246,,left,72,7.2,3.8,standard,standard_left,1.290226646,1.501880503,0.212704716
DSC_0975.JPG,624859,247,,left,72,7.2,4.1,standard,standard_left,1.392086645,1.43519168,0.160262183
DSC_0978.JPG,624911,248,,left,71,7.1,3.9,standard,standard_left,1.378607265,1.366840074,0.217503775
DSC_0477_result.JPG,624859,249,,right,72,7.2,4.1,standard,standard_right,1.392086645,1.422378915,0.210709916
DSC_0481_result.JPG,624873,250,,right,74,7.4,3.7,standard,standard_right,1.160952287,1.466361965,0.279196325
DSC_0484_result.JPG,624909,251,,right,89,8.9,6.7,semi-natural,semi-natural_right,1.235468234,1.562087974,0.288650219
DSC_0487_result.JPG,624855,252,,right,87,8.7,6.2,standard,standard_right,1.220608084,1.678829647,0.335731582
DSC_0490_result.JPG,624879,253,,right,79,7.9,4.3,semi-natural,semi-natural_right,1.117641276,1.784859802,0.31851543
DSC_0493_result.JPG,624821,254,,right,94,9.4,7.2,semi-natural,semi-natural_right,1.134290456,1.671137592,0.317468116
DSC_0496_result.JPG,624842,255,,right,76,7.6,4.5,semi-natural,semi-natural_right,1.307583308,1.653904039,0.261470973
DSC_0499_result.JPG,624823,256,,right,85,8.5,6.4,standard,standard_right,1.347266366,1.719411588,0.296449078
DSC_0502_result.JPG,624818,257,,right,87,8.7,7.3,enriched,enriched_right,1.437167583,1.573460731,0.327912
DSC_0505_result.JPG,624881,258,,right,88,8.8,6.4,standard,standard_right,1.219185751,1.677875993,0.280634713
DSC_0511_result.JPG,624933,259,,right,81,8.1,5.6,standard,standard_right,1.354413184,1.611627197,0.32008774
DSC_0514_result.JPG,624932,260,,right,80,8,5.6,standard,standard_right,1.403747075,1.603984744,0.277786279
DSC_0518_result.JPG,624969,261,,right,79,7.9,5.2,enriched,enriched_right,1.351566195,1.455842909,0.26539571
DSC_0521_result.JPG,624838,262,,right,78,7.8,4.7,semi-natural,semi-natural_right,1.267259052,1.596215398,0.257872226
DSC_0524_result.JPG,624917,263,,right,93,9.3,9.1,enriched,enriched_right,1.478463137,1.693304846,0.232575163
DSC_0527_result.JPG,624911,264,,right,71,7.1,3.9,standard,standard_right,1.378607265,1.612487481,0.354400566
DSC_0530_result.JPG,624792,265,,right,72,7.2,4.2,standard,standard_right,1.426039978,1.530377986,0.210496698
DSC_0533_result.JPG,624979,266,,right,70,7,4.5,standard,standard_right,1.657029188,1.44759446,0.244271031
DSC_0536_result.JPG,624965,267,,right,76,7.6,4,standard,standard_right,1.162296274,1.483388489,0.314558172
DSC_0539_result.JPG,624756,268,,right,102,10.2,9.7,semi-natural,semi-natural_right,1.207822845,1.464004143,0.301717554
DSC_0542_result.JPG,624977,269,,right,94,9.4,8.7,enriched,enriched_right,1.370600968,1.898954292,0.440755117
DSC_0545_result.JPG,624791,270,,right,82,8.2,5.7,standard,standard_right,1.330733104,1.586685967,0.318874162
DSC_0548_result.JPG,624890,271,,right,84,8.4,5.9,standard,standard_right,1.285072612,1.633302694,0.256771152
DSC_0551_result.JPG,624804,272,,right,88,8.8,7.1,enriched,enriched_right,1.352534192,1.801069663,0.341049095
DSC_0554_result.JPG,624905,273,,right,73,7.3,4.2,enriched,enriched_right,1.370501304,1.762628525,0.282382793
DSC_0557_result.JPG,624952,274,,right,88,8.8,7.9,enriched,enriched_right,1.504932411,1.673589709,0.313656155
DSC_0560_result.JPG,624927,275,,right,84,8.4,6,enriched,enriched_right,1.306853504,1.679472021,0.266050431
DSC_0563_result.JPG,624755,276,,right,100,10,9.5,semi-natural,semi-natural_right,1.252343902,1.712285123,0.320180901
DSC_0566_result.JPG,624962,277,,right,84,8.4,6.1,enriched,enriched_right,1.328634395,1.624263291,0.19853888
DSC_0569_result.JPG,624776,278,,right,84,8.4,5.2,semi-natural,semi-natural_right,1.13260637,1.811535015,0.272346934
DSC_0572_result.JPG,624955,279,,right,92,9.2,7.6,enriched,enriched_right,1.273809987,1.709417495,0.28111254
DSC_0575_result.JPG,624868,280,,right,77,7.7,5,enriched,enriched_right,1.399190075,1.85465024,0.342909588
DSC_0578_result.JPG,624780,281,,right,80,8,4.7,standard,standard_right,1.178144867,1.563792644,0.233620066
DSC_0582_result.JPG,624778,282,,right,76,7.6,4.5,standard,standard_right,1.307583308,1.628856401,0.248207396
DSC_0585_result.JPG,624991,283,,right,92,9.2,8.4,enriched,enriched_right,1.407895249,1.740458856,0.269410889
DSC_0588_result.JPG,624931,284,,right,87,8.7,6.1,enriched,enriched_right,1.200920857,1.650754347,0.23611739
DSC_0592_result.JPG,624950,285,,right,85,8.5,6.8,enriched,enriched_right,1.431470514,1.513912876,0.261299822
DSC_0595_result.JPG,624888,286,,right,97,9.7,9.6,standard,standard_right,1.381556461,1.695979913,0.214125613
DSC_0598_result.JPG,624819,287,,right,86,8.6,6.3,standard,standard_right,1.282286322,1.532682348,0.214404
DSC_0602_result.JPG,624752,288,,right,82,8.2,4.7,semi-natural,semi-natural_right,1.097271156,1.547493556,0.217808181
DSC_0605_result.JPG,624939,289,,right,80,8,5.3,enriched,enriched_right,1.328546339,1.592714473,0.252594463
DSC_0608_result.JPG,624930,290,,right,84,8.4,6.5,enriched,enriched_right,1.415757962,1.67216346,0.30822087
DSC_0611_result.JPG,624810,291,,right,73,7.3,4,enriched,enriched_right,1.305239338,1.655328003,0.208694305
DSC_0615_result.JPG,624833,292,,right,92,9.2,8.1,standard,standard_right,1.357613276,1.617418317,0.27848327
DSC_0618_result.JPG,624870,293,,right,74,7.4,3.5,semi-natural,semi-natural_right,1.098198109,1.548383052,0.214334437
DSC_0624_result.JPG,624857,295,,right,82,8.2,5,enriched,enriched_right,1.167309741,1.68481463,0.208408291
DSC_0628_result.JPG,624967,296,,right,78,7.8,3.9,semi-natural,semi-natural_right,1.051555384,1.634972637,0.263365166
DSC_0634_result.JPG,624913,297,,right,82,8.2,5.3,standard,standard_right,1.237348325,1.461866952,0.227016
DSC_0637_result.JPG,624949,298,,right,75,7.5,4,enriched,enriched_right,1.207490028,1.425926603,0.221384612
DSC_0640_result.JPG,624889,299,,right,96,9.6,9,standard,standard_right,1.334447088,1.532325561,0.229476891
DSC_0643_result.JPG,624947,300,,right,69,6.9,4.2,enriched,enriched_right,1.611995812,1.409394527,0.201644149
DSC_0646_result.JPG,624751,301,,right,85,8.5,5.7,semi-natural,semi-natural_right,1.199909107,1.843912033,0.290504081
DSC_0649_result.JPG,624813,302,,right,76,7.6,4.2,enriched,enriched_right,1.220411088,1.723976095,0.369963943
DSC_0652_result.JPG,624809,303,,right,87,8.7,6.2,enriched,enriched_right,1.220608084,1.653834912,0.272200884
DSC_0655_result.JPG,624840,304,,right,74,7.4,3.6,semi-natural,semi-natural_right,1.129575198,1.501900696,0.217191127
DSC_0658_result.JPG,624852,305,,right,89,8.9,7.6,standard,standard_right,1.401426654,1.720882444,0.278358297
DSC_0661_result.JPG,624861,306,,right,78,7.8,4.5,semi-natural,semi-natural_right,1.213333135,1.677473045,0.272054756
DSC_0665_result.JPG,624764,307,,right,84,8.4,5.4,semi-natural,semi-natural_right,1.176168153,1.804775107,0.266367858
DSC_0668_result.JPG,624832,308,,right,94,9.4,9.1,standard,standard_right,1.433617105,1.447378116,0.189206273
DSC_0672_result.JPG,624902,309,,right,80,8,6,standard,standard_right,1.504014724,1.55243231,0.261242747
DSC_0675_result.JPG,624891,310,,right,84,8.4,6.1,standard,standard_right,1.328634395,1.608079458,0.199737013
DSC_0678_result.JPG,624912,311,,right,80,8,5.1,standard,standard_right,1.278412515,1.498285562,0.221519288
DSC_0681_result.JPG,624754,312,,right,83,8.3,5.2,semi-natural,semi-natural_right,1.172353104,1.612256267,0.21183843
DSC_0684_result.JPG,624800,313,,right,79,7.9,4.4,standard,standard_right,1.143632934,1.570510534,0.192436349
DSC_0687_result.JPG,624766,314,,right,81,8.1,5.8,semi-natural,semi-natural_right,1.402785084,1.542139359,0.208765747
DSC_0690_result.JPG,624871,315,,right,90,9,6.7,semi-natural,semi-natural_right,1.196344826,1.597961428,0.195002281
DSC_0693_result.JPG,624989,316,,right,81,8.1,5.4,semi-natural,semi-natural_right,1.306041285,1.494535304,0.21407918
DSC_0696_result.JPG,624828,317,,right,81,8.1,6.1,standard,standard_right,1.475342933,1.539006398,0.15452917
DSC_0699_result.JPG,624893,318,,right,90,9,7.3,standard,standard_right,1.303480183,1.515809464,0.207260291
DSC_0702_result.JPG,624929,319,,right,84,8.4,5.1,semi-natural,semi-natural_right,1.110825478,1.512142115,0.251944233
DSC_0706_result.JPG,624786,320,,right,79,7.9,5,semi-natural,semi-natural_right,1.29958288,1.504651772,0.295374009
DSC_0709_result.JPG,624826,321,,right,84,8.4,6.7,standard,standard_right,1.459319746,1.452876262,0.214334437
DSC_0712_result.JPG,624924,322,,right,87,8.7,7,standard,standard_right,1.378105901,1.504539447,0.187411307
DSC_0715_result.JPG,624959,323,,right,73,7.3,3.5,semi-natural,semi-natural_right,1.14208442,1.300565682,0.20377749
DSC_0719_result.JPG,624849,324,,right,100,10,10.8,enriched,enriched_right,1.423717278,1.412375079,0.213381473
DSC_0722_result.JPG,624875,325,,right,102,10.2,10.4,enriched,enriched_right,1.294985318,1.428990943,0.227037895
DSC_0725_result.JPG,624919,326,,right,83,8.3,6.4,standard,standard_right,1.442896128,1.457252338,0.213381473
DSC_0728_result.JPG,624916,327,,right,69,6.9,4.5,enriched,enriched_right,1.72713837,1.378189248,0.202406884
DSC_0731_result.JPG,624824,328,,right,94,9.4,7.6,semi-natural,semi-natural_right,1.197306593,1.601953631,0.221788394
DSC_0739_result.JPG,624799,329,,right,94,9.4,8.8,enriched,enriched_right,1.386355002,1.463022578,0.171541746
DSC_0744_result.JPG,624801,330,,right,87,8.7,6.9,enriched,enriched_right,1.358418674,1.658840615,0.218673678
DSC_0747_result.JPG,624789,331,,right,82,8.2,5.4,semi-natural,semi-natural_right,1.26069452,1.722934917,0.314494957
DSC_0750_result.JPG,624835,332,,right,89,8.9,7.6,standard,standard_right,1.401426654,1.830370136,0.249326353
DSC_0753_result.JPG,624918,333,,right,71,7.1,3.6,semi-natural,semi-natural_right,1.272560552,1.737829374,0.27764309
DSC_0756_result.JPG,624761,334,,right,89,8.9,7,semi-natural,semi-natural_right,1.290787708,1.715582619,0.267540922
DSC_0759_result.JPG,624816,335,,right,83,8.3,5.9,standard,standard_right,1.330169868,1.8130737,0.28111254
DSC_0762_result.JPG,624943,336,,right,87,8.7,7.1,enriched,enriched_right,1.397793129,1.58688645,0.266050431
